,Time,Action
0,00:01:39.7,&=vfx
1,00:01:39.8,&=vfx
2,00:01:39.9,&=vfx
3,00:01:40.0,&=vfx
4,00:01:40.1,&=vfx
5,00:01:40.2,&=vfx
6,00:01:46.2,&=vocalization
7,00:01:46.3,&=vocalization
8,00:01:46.4,&=vocalization
9,00:02:21.8,&=vocalization
10,00:02:21.9,&=vocalization
11,00:02:25.6,&=vocalization
12,00:02:25.7,&=vocalization
13,00:02:26.2,&=vocalization
14,00:02:27.0,&=vocalization
15,00:02:27.4,&=vocalization
16,00:02:28.8,&=vocalization
17,00:02:28.9,&=vocalization
18,00:02:32.3,&=crying
19,00:02:32.4,&=crying
20,00:02:32.5,&=crying
21,00:02:32.6,&=crying
22,00:02:32.7,&=crying
23,00:02:32.8,&=vfx
24,00:02:32.9,&=vfx
25,00:02:36.6,&=vfx
26,00:02:36.7,&=vfx
27,00:02:36.8,&=vfx
28,00:02:36.9,&=vfx
29,00:02:37.0,&=vfx
30,00:02:37.1,&=vfx
31,00:02:37.2,&=vfx
32,00:02:37.3,&=vfx
33,00:02:37.4,&=vfx
34,00:02:38.9,&=vocalization
35,00:02:39.0,&=vocalization
36,00:02:39.7,&=vocalization
37,00:02:39.8,&=vocalization
38,00:02:39.9,&=vocalization
39,00:02:40.0,&=vocalization
40,00:02:41.1,&=vocalization
41,00:02:41.2,&=vocalization
42,00:02:41.3,&=vocalization
43,00:02:44.1,&=vocalization
44,00:02:44.7,&=vocalization
45,00:02:44.8,&=vocalization
46,00:02:45.8,&=vocalization
47,00:02:45.9,&=vocalization
48,00:02:46.0,&=vocalization
49,00:02:51.0,&=vocalization
50,00:02:51.1,&=vocalization
51,00:02:51.2,&=vocalization
52,00:02:51.3,&=vocalization
53,00:02:51.4,&=vocalization
54,00:02:54.3,&=vocalization
55,00:02:54.4,&=vocalization
56,00:02:54.5,&=vocalization
57,00:02:54.6,&=vocalization
58,00:02:54.7,&=vocalization
59,00:02:54.8,&=vocalization
60,00:02:57.2,&=vocalization
61,00:02:57.3,&=vocalization
62,00:02:57.4,&=vocalization
63,00:03:05.4,&=crying
64,00:03:06.6,&=vocalization
65,00:03:06.7,&=vocalization
66,00:03:06.8,&=vocalization
67,00:03:07.9,&=vocalization
68,00:03:08.0,&=vocalization
69,00:03:08.1,&=vocalization
70,00:03:11.9,&=crying
71,00:03:12.0,&=crying
72,00:03:12.1,&=crying
73,00:03:12.2,&=crying
74,00:03:12.3,&=crying
75,00:03:12.4,&=crying
76,00:03:12.5,&=crying
77,00:03:12.6,&=vfx
78,00:03:12.7,&=vfx
79,00:03:12.8,&=vfx
80,00:03:15.2,&=vocalization
81,00:03:15.3,&=vocalization
82,00:03:15.9,&=vocalization
83,00:03:16.0,&=vocalization
84,00:03:16.1,&=vocalization
85,00:03:19.5,&=vfx
86,00:03:20.8,&=vocalization
87,00:03:20.9,&=vocalization
88,00:03:21.0,&=vocalization
89,00:03:23.4,&=vocalization
90,00:03:23.5,&=vocalization
91,00:03:23.6,&=vocalization
92,00:03:24.2,&=vocalization
93,00:03:25.4,&=vfx
94,00:03:25.5,&=vfx
95,00:03:25.6,&=vfx
96,00:03:25.7,&=vfx
97,00:03:25.8,&=vfx
98,00:03:25.9,&=vfx
99,00:03:26.0,&=vfx
100,00:03:26.1,&=vfx
101,00:03:26.2,&=vfx
102,00:03:26.3,&=vfx
103,00:03:26.4,&=vfx
104,00:03:29.1,&=vocalization
105,00:03:29.2,&=vocalization
106,00:03:29.7,&=vocalization
107,00:03:29.8,&=vocalization
108,00:03:29.9,&=vocalization
109,00:03:44.6,&=vocalization
110,00:03:44.7,&=vocalization
111,00:03:44.8,&=vocalization
112,00:03:47.6,&=vocalization
113,00:03:47.7,&=vocalization
114,00:03:48.2,&=vocalization
115,00:03:48.3,&=vocalization
116,00:03:48.4,&=vocalization
117,00:03:48.5,&=vocalization
118,00:03:52.3,&=vocalization
119,00:03:52.4,&=vocalization
120,00:03:58.6,&=vfx
121,00:03:58.7,&=vfx
122,00:04:01.9,&=vfx
123,00:04:02.0,&=vfx
124,00:04:05.8,&=vfx
125,00:04:05.9,&=vfx
126,00:04:07.4,&=vocalization
127,00:04:08.7,&=vocalization
128,00:04:08.8,&=vocalization
129,00:04:10.0,&=vocalization
130,00:04:10.1,&=vocalization
131,00:04:10.2,&=vocalization
132,00:04:12.8,&=vfx
133,00:04:12.9,&=vfx
134,00:04:13.0,&=vfx
135,00:04:13.1,&=vfx
136,00:04:13.2,&=vfx
137,00:04:13.3,&=vfx
138,00:04:13.4,&=vfx
139,00:04:13.5,&=vfx
140,00:04:14.5,&=vocalization
141,00:04:14.6,&=vocalization
142,00:04:14.7,&=vocalization
143,00:04:14.8,&=vocalization
144,00:04:14.9,&=vocalization
145,00:04:15.0,&=vocalization
146,00:04:15.1,&=vocalization
147,00:04:17.8,&=vocalization
148,00:04:18.3,&=vocalization
149,00:04:18.4,&=vocalization
150,00:04:18.5,&=vocalization
151,00:04:19.6,&=vocalization
152,00:04:19.7,&=vocalization
153,00:04:19.8,&=vocalization
154,00:04:21.5,&=vfx
155,00:04:21.6,&=vfx
156,00:04:21.7,&=vfx
157,00:04:23.2,&=vocalization
158,00:04:23.3,&=vocalization
159,00:04:23.4,&=vocalization
160,00:04:27.1,&=vocalization
161,00:04:27.7,&=vocalization
162,00:04:27.8,&=vocalization
163,00:04:27.9,&=vocalization
164,00:04:29.0,&=vocalization
165,00:04:29.1,&=vocalization
166,00:04:29.6,&=vocalization
167,00:04:29.7,&=vocalization
168,00:04:29.8,&=vocalization
169,00:04:33.3,&=vocalization
170,00:04:33.4,&=vocalization
171,00:04:36.2,&=vocalization
172,00:04:36.3,&=vocalization
173,00:04:36.4,&=vocalization
174,00:04:39.1,&=vocalization
175,00:04:39.2,&=vocalization
176,00:04:39.3,&=vocalization
177,00:04:40.7,&=vocalization
178,00:04:40.8,&=vocalization
179,00:04:42.1,&=vocalization
180,00:04:42.2,&=vocalization
181,00:04:42.3,&=vocalization
182,00:04:42.9,&=vocalization
183,00:04:43.0,&=vocalization
184,00:04:43.1,&=vocalization
185,00:04:45.8,&=crying
186,00:04:48.4,&=vocalization
187,00:04:48.5,&=vocalization
188,00:04:49.0,&=vocalization
189,00:04:49.1,&=vocalization
190,00:04:49.2,&=vocalization
191,00:04:49.3,&=vocalization
192,00:04:51.2,&=vfx
193,00:04:51.3,&=vfx
194,00:04:51.4,&=vfx
195,00:04:51.5,&=vfx
196,00:04:51.6,&=vfx
197,00:04:51.7,&=vfx
198,00:04:51.8,&=vfx
199,00:04:51.9,&=vfx
200,00:04:52.0,&=vfx
201,00:04:55.4,&=vocalization
202,00:04:56.2,&=vocalization
203,00:04:56.3,&=vocalization
204,00:04:57.6,&=vocalization
205,00:04:57.7,&=vocalization
206,00:04:57.8,&=vocalization
207,00:04:58.8,&=vocalization
208,00:04:58.9,&=vocalization
209,00:04:59.0,&=vocalization
210,00:04:59.1,&=vocalization
211,00:04:59.2,&=vocalization
212,00:04:59.3,&=vocalization
213,00:05:01.2,&=crying
214,00:05:01.3,&=crying
215,00:05:11.5,&=vocalization
216,00:05:11.6,&=vocalization
217,00:05:11.7,&=vocalization
218,00:05:11.8,&=vocalization
219,00:05:13.5,&=vocalization
220,00:05:13.6,&=vocalization
221,00:05:13.7,&=vocalization
222,00:05:17.9,&=vocalization
223,00:05:18.0,&=vocalization
224,00:05:18.1,&=vocalization
225,00:05:18.2,&=vocalization
226,00:05:18.3,&=vocalization
227,00:05:18.4,&=vocalization
228,00:05:26.9,&=vocalization
229,00:05:27.0,&=vocalization
230,00:05:27.1,&=vocalization
231,00:05:27.6,&=vocalization
232,00:05:27.7,&=vocalization
233,00:05:27.8,&=vocalization
234,00:05:29.3,&=vocalization
235,00:05:29.4,&=vocalization
236,00:05:30.6,&=vfx
237,00:05:30.7,&=vfx
238,00:05:30.8,&=vfx
239,00:05:39.3,&=vocalization
240,00:05:39.4,&=vocalization
241,00:05:39.5,&=vocalization
242,00:05:39.6,&=vocalization
243,00:05:39.7,&=vocalization
244,00:05:39.8,&=vocalization
245,00:05:39.9,&=vocalization
246,00:05:40.0,&=vocalization
247,00:05:40.1,&=vocalization
248,00:05:40.2,&=vocalization
249,00:05:51.5,&=vocalization
250,00:05:51.6,&=vocalization
251,00:05:52.1,&=vocalization
252,00:05:52.2,&=vocalization
253,00:05:55.4,&=vfx
254,00:05:55.5,&=vfx
255,00:05:55.6,&=vfx
256,00:05:55.7,&=vfx
257,00:05:55.8,&=vfx
258,00:05:55.9,&=vfx
259,00:05:56.0,&=vfx
260,00:05:56.1,&=vfx
261,00:05:56.2,&=vfx
262,00:05:56.3,&=vfx
263,00:05:56.4,&=vfx
264,00:05:56.5,&=vfx
265,00:05:59.3,&=crying
266,00:05:59.4,&=crying
267,00:06:01.5,&=vocalization
268,00:06:02.2,&=vocalization
269,00:06:03.3,&=vocalization
270,00:06:03.4,&=vocalization
271,00:06:03.5,&=vocalization
