,Time,Action
0,00:04:32.0,&=vocalization
1,00:04:32.1,&=vocalization
2,00:04:32.2,&=vocalization
3,00:04:32.3,&=vocalization
4,00:04:32.4,&=vocalization
5,00:04:32.5,&=vocalization
6,00:04:32.6,&=vocalization
7,00:05:06.1,&=vocalization
8,00:05:06.2,&=vocalization
9,00:05:06.3,&=vocalization
10,00:05:06.4,&=vocalization
11,00:05:06.5,&=vocalization
12,00:05:06.6,&=vocalization
13,00:05:06.7,&=vocalization
14,00:05:06.8,&=vocalization
15,00:10:28.0,&=vfx
16,00:10:28.1,&=vfx
17,00:10:28.2,&=vfx
18,00:10:28.3,&=vfx
19,00:10:28.4,&=vfx
20,00:10:28.5,&=vfx
21,00:10:28.6,&=vfx
22,00:10:28.7,&=vfx
23,00:10:28.8,&=vfx
24,00:10:28.9,&=vfx
25,00:15:37.2,&=vocalization
26,00:15:37.3,&=vocalization
27,00:15:37.4,&=vocalization
28,00:15:37.5,&=vocalization
29,00:15:37.6,&=vocalization
30,00:16:15.9,&=crying
31,00:16:16.0,&=crying
32,00:21:37.0,&=vocalization
33,00:21:37.1,&=vocalization
34,00:21:37.2,&=vocalization
35,00:21:37.3,&=vocalization
36,00:21:37.4,&=vocalization
37,00:21:37.5,&=vocalization
38,00:21:37.6,&=vocalization
39,00:23:11.7,&=vocalization
40,00:23:11.8,&=vocalization
41,00:23:29.5,&=crying
42,00:23:29.6,&=crying
43,00:23:29.7,&=crying
44,00:23:29.8,&=crying
45,00:23:29.9,&=crying
46,00:28:33.2,&=vfx
47,00:28:33.3,&=vfx
48,00:28:33.4,&=vfx
49,00:28:33.5,&=vfx
50,00:28:33.6,&=vfx
51,00:28:33.7,&=vfx
52,00:28:33.8,&=vfx
53,00:28:33.9,&=vfx
54,00:28:50.1,&=vfx
55,00:28:50.2,&=vfx
56,00:28:50.3,&=vfx
57,00:28:50.4,&=vfx
58,00:28:50.5,&=vfx
59,00:28:50.6,&=vfx
60,00:30:38.9,&=vocalization
61,00:30:39.0,&=vocalization
62,00:30:39.1,&=vocalization
